Site ID,Name
10.231.35.60,CENU_HCE_RT02
10.237.1.244,NS0024-ATN910C-ASG
10.237.1.143,AB0071-ATN-910C-ASG
10.237.1.190,HAB0492-ATN950C-ASG
10.228.36.60,CBAU_HCE_RT02
10.228.36.59,CBAU_HCE_RT01
10.237.1.243,NS0010-ATN-910C-ASG
10.237.1.241,NS0002-ATN-910C-ASG
10.237.1.197,AB0132-ATN950C-ASG
10.237.1.196,AB0793-ATN910C-CSG
10.231.35.59,CENU_HCE_RT01
10.206.33.59,CPHC_HCE_RT01
10.202.33.60,CASA_HCE_RT02
10.202.33.59,CASA_HCE_RT01
10.238.129.152,HDL0087-ATN-910C-CSG
10.206.33.60,CPHC_HCE_RT_02
10.205.37.60,CKAD_HCE_RT02
10.205.37.59,CKAD_HCE_RT01
10.238.129.151,HDL0078-ATN-910C-CSG
10.238.129.150,CDL0102-ATN-910C-ASG-1
10.237.1.198,HAB0082-ATN910C-CSG
10.238.1.133,KT0024-ATN910C-ASG
10.238.129.226,HDL0231-CX600-X2-M8-RSG-2
10.238.129.227,DL0059-ATN-910C-CSG
10.238.129.225,HDL0231-CX600-X2-M8-RSG-1
10.237.1.177,AB1016-ATN-910C-CSG
10.237.1.180,AB0049-CX600-X2-M8A-ASG
10.237.1.185,AB0099-ATN-910C-CSG
10.237.1.179,AB0308-ATN950C-ASG
10.237.1.178,AB0933-ATN-910C-CSG
10.237.1.186,AB0351-ATN950C-CSG
10.237.1.183,AB0019-ATN950-CSG
10.237.1.182,HAB0485-ATN950C-CSG
10.237.1.184,HAB0376-ATN910C-CSG
10.237.1.174,AB1014-ATN-910C-CSG
10.237.1.181,AB0406-ATN950C-ASG
10.238.1.132,CSK0004-CX600_X2_M8-RSG-2
10.237.1.176,HAB0091-ATN-910C-CSG
10.237.1.175,AB0397-ATN950C-ASG
10.238.65.138,HAI0009-ATN-950C-ASG-1
10.238.65.142,AI0011-ATN-950C-ASG-1
10.238.65.141,HAI0001-ATN-950C-ASG-1
10.238.65.140,AI0548-ATN-910C-ASG-1
10.238.65.139,AI0374-ATN-910C-ASG-1
10.238.65.144,HENB02-ATN-910C-CSG
10.238.97.164,AD0042-ATN-910C-ASG-1
10.238.97.1,CBAU-CX600_X8-RSG-1
10.238.97.128,BR0001_ATN950C
10.238.97.2,CBAU-CX600_X8-RSG-2
10.238.129.208,HAN0051-ATN950C-ASG-1
10.238.129.210,HAN0058-ATN950C-ASG-1
10.238.129.200,HAN0061-ATN950C-ASG-1
10.238.129.199,HAN0056-ATN950C-ASG-1
10.238.129.209,HAN0052-ATN950C-ASG-1
10.238.129.206,HAN0046-ATN950C-ASG-1
10.238.129.207,HAN0047-ATN950C-ASG-1
