Site ID,Name
10.236.0.1,CLG0279-NSR12-RT01
10.236.0.10,CLG0300-NSAR8-RT02
10.236.0.103,COG0758-NSR7-RT01
10.236.0.104,COG0758-NSAR8-RT02
10.236.0.105,COG0165-NSR7-RT01
10.236.0.106,COG0165-NSAR8-RT02
10.236.0.107,HOG0167-NSRA4-RT01
10.236.0.109,HOG0123-NSRA4-RT01
10.236.0.11,CLG0199-NSRA4-RT01
10.236.0.111,HOG0013-NSRA4-RT01
10.236.0.112,HOG0013-NSAR8-RT02
10.236.0.113,HOG0012-NSRA4-RT01
10.236.0.115,HLG2899-NSRA4-RT01
10.236.0.119,HLG1892-NSRA4-RT01
10.236.0.12,CLG0199-NSAR8-RT02
10.236.0.121,HLG1686-NSRA4-RT01
10.236.0.122,HLG1686-NSAR8-RT02
10.236.0.123,HLG0972-NSRA4-RT01
10.236.0.124,HLG0972-NSAR8-RT02
10.236.0.125,HLG0960-NSRA4-RT01
10.236.0.126,HLG0960-NSAR8-RT02
10.236.0.127,HLG0857-NSRA4-RT01
10.236.0.128,HLG0857-NSAR8-RT02
10.236.0.129,HLG0840-NSRA4-RT01
10.236.0.13,CLG0455-NSR12-RT01
10.236.0.130,HLG0840-NSAR8-RT02
10.236.0.131,HLG0838-NSRA4-RT01
10.236.0.132,HLG0838-NSAR8-RT02
10.236.0.134,HLG0822-NSAR8-RT01
10.236.0.135,HLG0733-NSRA4-RT01
10.236.0.136,HLG0733-NSAR8-RT02
10.236.0.137,HLG0655-NSRA4-RT01
10.236.0.138,HLG0655-NSAR8-RT02
10.236.0.139,HLG0621-NSRA4-RT01
10.236.0.14,CLG0455-NSAR8-RT02
10.236.0.141,HLG0591-NSRA4-RT01
10.236.0.142,HLG0591-NSAR8-RT02
10.236.0.143,HLG0575-NSRA4-RT01
10.236.0.144,HLG0575-NSAR8-RT02
10.236.0.145,HLG0573-NSRA4-RT01
10.236.0.147,HLG0564-NSRA4-RT01
10.236.0.149,HLG0563-NSRA4-RT01
10.236.0.15,CLG0012-NSR12-RT01
10.236.0.150,HLG0563-NSAR8-RT02
10.236.0.151,HLG0558-NSRA4-RT01
10.236.0.153,HLG0498-NSRA4-RT01
10.236.0.154,HLG0498-NSAR8-RT02
10.236.0.158,HLG0454-NSAR8-RT01
10.236.0.159,HLG0450-NSRA4-RT01
10.236.0.16,CLG0012-NSAR8-RT02
10.236.0.160,HLG0450-NSAR8-RT02
10.236.0.161,HLG0442-NSRA4-RT01
10.236.0.162,HLG0442-NSAR8-RT02
10.236.0.163,HLG0439-NSRA4-RT01
10.236.0.165,HLG0421-NSRA4-RT01
10.236.0.166,HLG0421-NSAR8-RT02
10.236.0.167,HLG0397-NSRA4-RT01
10.236.0.168,HLG0397-NSAR8-RT02
10.236.0.17,CLG1674-NSR12-RT01
10.236.0.171,HLG0246-NSRA4-RT01
10.236.0.172,HLG0246-NSAR8-RT02
10.236.0.173,HLG0225-NSRA4-RT01
10.236.0.175,HLG0192-NSRA4-RT01
10.236.0.177,HLG0179-NSRA4-RT01
10.236.0.178,HOG0735-NSAR8-RT01
10.236.0.179,HLG0178-NSRA4-RT01
10.236.0.18,CLG1674-NSAR8-RT02
10.236.0.181,HLG0164-NSRA4-RT01
10.236.0.182,HOG1159-NSAR8-RT01
10.236.0.183,HLG0159-NSRA4-RT01
10.236.0.184,HLG0159-NSAR8-RT02
10.236.0.185,HLG0157-NSRA4-RT01
10.236.0.186,HLG0157-NSAR8-RT02
10.236.0.187,HLG0137-NSRA4-RT01
10.236.0.189,HLG0130-NSRA4-RT01
10.236.0.19,CLG0158-NSR7-RT01
10.236.0.190,HLG0130-NSAR8-RT02
10.236.0.191,HLG0126-NSRA4-RT01
10.236.0.192,HLG0126-NSAR8-RT02
10.236.0.193,HLG0120-NSRA4-RT01
10.236.0.194,HLG0120-NSAR8-RT02
10.236.0.195,HLG0119-NSRA4-RT01
10.236.0.197,HLG0117-NSRA4-RT01
10.236.0.198,HLG0117-NSAR8-RT02
10.236.0.199,HLG0103-NSRA4-RT01
10.236.0.2,CLG0279-NSR12-RT02
10.236.0.20,CLG0158-NSAR8-RT02
10.236.0.201,HLG0101-NSRA4-RT01
10.236.0.202,HLG0101-NSAR8-RT02
10.236.0.203,HLG0094-NSRA4-RT01
10.236.0.205,HLG0089-NSRA4-RT01
10.236.0.207,HLG0088-NSRA4-RT01
10.236.0.209,HLG0081-NSRA4-RT01
10.236.0.21,CLG0053-NSR7-RT01
10.236.0.211,HLG0080-NSRA4-RT01
10.236.0.213,HLG0047-NSRA4-RT01
10.236.0.216,HLG0045-NSAR8-RT01
10.236.0.217,HLG0040-NSRA4-RT01
10.236.0.22,CLG0053-NSAR8-RT02
10.236.0.220,HLG0027-NSAR8-RT01
10.236.0.222,HLG0024-NSAR8-RT01
10.236.0.223,HLG0023-NSAR8-RT01
10.236.0.225,HLG0011-NSRA4-RT01
10.236.0.227,HLG0010-NSRA4-RT01
10.236.0.229,HLG0008-NSRA4-RT01
10.236.0.23,CLG1653-NSR7-RT01
10.236.0.231,HLG0003-NSRA4-RT01
10.236.0.233,HLG0102-NSRA4-RT01
10.236.0.234,HLG0102-NSAR8-RT02
10.236.0.235,HLG0449-NSRA4-RT01
10.236.0.236,HLG0449-NSAR8-RT02
10.236.0.237,HLG0492-NSRA4-RT01
10.236.0.238,HLG0492-NSAR8-RT02
10.236.0.239,HLG0264-NSRA4-RT01
10.236.0.24,CLG1653-NSAR8-RT02
10.236.0.240,HLG0264-NSAR8-RT02
10.236.0.242,HLG0019-NSAR8-RT01
10.236.0.243,HLG0483-NSRA4-RT01
10.236.0.245,HLG0485-NSRA4-RT01
10.236.0.246,HLG0485-NSAR8-RT02
10.236.0.247,HLG0461-NSRA4-RT01
10.236.0.249,HOG0082-NSRA4-RT01
10.236.0.25,CLG0054-NSR7-RT01
10.236.0.250,HOG0082-NSAR8-RT02
10.236.0.251,HLG0234-NSRA4-RT01
10.236.0.252,HLG0234-NSAR8-RT02
10.236.0.253,HLG0233-NSRA4-RT01
10.236.0.26,CLG0054-NSAR8-RT02
10.236.0.27,CLG0107-NSR7-RT01
10.236.0.28,CLG0107-NSAR8-RT02
10.236.0.29,CLG0029-NSR7-RT01
10.236.0.3,CLG0301-NSR12-RT01
10.236.0.30,CLG0029-NSAR8-RT02
10.236.0.31,HLG0059-NSRA4-RT01
10.236.0.32,HLG0059-NSAR8-RT02
10.236.0.33,HLG0098-NSRA4-RT01
10.236.0.34,HLG0098-NSAR8-RT02
10.236.0.35,HLG0035-NSRA4-RT01
10.236.0.36,HLG0035-NSAR8-RT02
10.236.0.37,HLG0004-NSRA4-RT01
10.236.0.38,HLG0004-NSAR8-RT02
10.236.0.39,HLG0154-NSRA4-RT01
10.236.0.4,CLG0301-NSR12-RT02
10.236.0.40,HLG0154-NSAR8-RT02
10.236.0.41,HLG0592-NSRA4-RT01
10.236.0.42,HLG0592-NSAR8-RT02
10.236.0.43,HLG0111-NSRA4-RT01
10.236.0.44,HLG0111-NSAR8-RT02
10.236.0.45,HLG0226-NSRA4-RT01
10.236.0.46,HLG0226-NSAR8-RT02
10.236.0.47,HLG0068-NSRA4-RT01
10.236.0.48,HLG0068-NSAR8-RT02
10.236.0.49,HLG0115-NSRA4-RT01
10.236.0.5,CLG0279-NSAR8-RT03
10.236.0.50,HLG0115-NSAR8-RT02
10.236.0.51,HLG0593-NSRA4-RT01
10.236.0.52,HLG0593-NSAR8-RT02
10.236.0.53,HLG2097-NSRA4-RT01
10.236.0.54,HLG2097-NSAR8-RT02
10.236.0.55,HLG0065-NSRA4-RT01
10.236.0.56,HLG0065-NSAR8-RT02
10.236.0.57,HLG2280-NSRA4-RT01
10.236.0.58,HLG2280-NSAR8-RT02
10.236.0.59,HLG0028-NSRA4-RT01
10.236.0.6,CLG0279-NSAR8-RT04
10.236.0.60,HLG0028-NSAR8-RT02
10.236.0.61,HLG0030-NSRA4-RT01
10.236.0.62,HLG0030-NSAR8-RT02
10.236.0.63,HLG0050-NSRA4-RT01
10.236.0.64,HLG0050-NSAR8-RT02
10.236.0.67,HLG0688-NSRA4-RT01
10.236.0.68,HLG0688-NSAR8-RT02
10.236.0.7,CLG0301-NSAR8-RT03
10.236.0.71,HLG0945-NSRA4-RT01
10.236.0.72,HLG0945-NSAR8-RT02
10.236.0.75,CLG0129-NSR7-RT01
10.236.0.76,CLG0129-NSAR8-RT02
10.236.0.77,HLG0095-NSRA4-RT01
10.236.0.78,HLG0095-NSAR8-RT02
10.236.0.79,HLG0067-NSRA4-RT01
10.236.0.8,CLG0301-NSAR8-RT04
10.236.0.80,HLG0067-NSAR8-RT02
10.236.0.81,HLG0249-NSRA4-RT01
10.236.0.82,HLG0249-NSAR8-RT02
10.236.0.83,HLG1449-NSRA4-RT01
10.236.0.84,HLG1449-NSAR8-RT02
10.236.0.85,HLG1450-NSRA4-RT01
10.236.0.86,HLG1450-NSAR8-RT02
10.236.0.87,HLG0476-NSRA4-RT01
10.236.0.88,HLG0476-NSAR8-RT02
10.236.0.89,HLG0043-NSRA4-RT01
10.236.0.9,CLG0300-NSR7-RT01
10.236.0.90,HLG0043-NSAR8-RT02
10.236.0.91,HLG0983-NSRA4-RT01
10.236.0.92,HLG0983-NSAR8-RT02
10.236.0.93,CLG0455-NSR12-RT03
10.236.1.1,HLG0152-NSRA4-RT01
10.236.1.100,HLG0247-NSAR8-RT02
10.236.1.101,HLG2179-NSRA4-RT01
10.236.1.103,HOG0062-NSRA4-RT01
10.236.1.105,HLG0482-NSRA4-RT01
10.236.1.106,HLG0482-NSAR8-RT02
10.236.1.107,HLG1402-NSRA4-RT01
10.236.1.108,HLG1402-NSAR8-RT02
10.236.1.109,HLG1796-NSRA4-RT01
10.236.1.11,HLG0105-NSRA4-RT01
10.236.1.111,HLG0431-NSRA4-RT01
10.236.1.113,HLG0473-NSRA4-RT01
10.236.1.114,HLG0473-NSAR8-RT02
10.236.1.115,HLG0189-NSRA4-RT01
10.236.1.116,HLG0189-NSAR8-RT02
10.236.1.117,HOG0026-NSRA4-RT01
10.236.1.118,HOG0026-NSAR8-RT02
10.236.1.119,HOG0069-NSRA4-RT01
10.236.1.120,HOG0069-NSAR8-RT02
10.236.1.121,HOG0156-NSRA4-RT01
10.236.1.122,HOG0156-NSAR8-RT02
10.236.1.123,HOG0022-NSRA4-RT01
10.236.1.124,HOG0022-NSAR8-RT02
10.236.1.125,HOG0027-NSRA4-RT01
10.236.1.126,HOG0027-NSAR8-RT02
10.236.1.127,HLG0049-NSRA4-RT01
10.236.1.128,HLG0049-NSAR8-RT02
10.236.1.129,LLG0113-NSAR8-RT01
10.236.1.13,HLG0026-NSRA4-RT01
10.236.1.130,HLG0817-NSAR8-RT01
10.236.1.131,HLG0445-NSAR8-RT01
10.236.1.132,HLG0278-NSAR8-RT01
10.236.1.133,LLG0990-NSAR8-RT01
10.236.1.134,HLG2006-NSAR8-RT01
10.236.1.135,HLG2029-NSAR8-RT01
10.236.1.136,HLG2220-NSAR8-RT01
10.236.1.138,LLG0084-NSAR8-RT01
10.236.1.139,LLG2013-NSAR8-RT01
10.236.1.140,LLG0913-NSAR8-RT01
10.236.1.141,LLG1641-NSAR8-RT01
10.236.1.142,HLG0868-NSAR8-RT01
10.236.1.143,HLG0489-NSAR8-RT01
10.236.1.144,LLG0329-NSAR8-RT01
10.236.1.146,HLG0430-NSAR8-RT01
10.236.1.147,LLG2003-NSAR8-RT01
10.236.1.148,HLG0434-NSAR8-RT01
10.236.1.149,LLG0619-NSAR8-RT01
10.236.1.15,HLG0419-NSRA4-RT01
10.236.1.150,HLG0090-NSAR8-RT01
10.236.1.151,HLG0925-NSAR8-RT01
10.236.1.152,HOG0070-NSAR8-RT01
10.236.1.153,HOG0132-NSAR8-RT01
10.236.1.154,HOG0736-NSAR8-RT01
10.236.1.155,HOG0154-NSAR8-RT01
10.236.1.156,HOG1035-NSAR8-RT01
10.236.1.157,HOG0016-NSAR8-RT01
10.236.1.158,HOG1219-NSAR8-RT01
10.236.1.159,HLG0002-NSAR8-RT01
10.236.1.16,HLG0419-NSAR8-RT02
10.236.1.161,LLG0033-NSAR8-RT01
10.236.1.162,HLG0039-NSAR8-RT01
10.236.1.163,HLG0042-NSRA4-RT01
10.236.1.164,HLG0052-NSAR8-RT01
