Site ID,Name
10.236.79.252,HILAY01-NIXR-E-RT01
10.236.81.100,HED0499-NIXR-E-RT01
10.236.81.101,HED0656-NIXR-E-RT01
10.236.81.102,HED0374-NIXR-E-RT01
10.236.81.103,HED0706-NIXR-E-RT01
10.236.81.105,HED0023-NIXR-E-RT01
10.236.81.106,HED0710-NIXR-E-RT01
10.236.81.107,HED0399-NIXR-E-RT01
10.236.81.110,HEK0017-NIXR-E-RT01
10.236.81.111,HEK0010-NIXR-E-RT01
10.236.81.112,HEK0008-NIXR-E-RT01
10.236.81.113,HEK0006-NIXR-E-RT01
10.236.81.114,HEK0005-NIXR-E-RT01
10.236.81.97,HED0658-NIXR-E-RT01
10.236.81.99,HED0721-NIXR-E-RT01
