Site ID,Name
10.236.11.36,LOG0130-NSASK12-RT01
10.236.7.165,LLG3911-NSASK12-RT01
10.236.7.173,LLG3796-NSASK12-RT01
10.236.7.195,LLG3746-NSASK12-RT01
10.236.7.196,LOG1389-NSASK12-RT01
10.236.7.199,LOG1448-NSASK12-RT01
10.236.7.20,LLG3631-NSASK12-RT01
10.236.7.201,LLG3826-NSASK12-RT01
10.236.7.204,LLG3472-NSASK12-RT01
10.236.7.207,LLG3735-NSASK12-RT01
10.236.7.209,LLG3432-NSASK12-RT01
10.236.7.212,LLG2432-NSASK12-RT01
10.236.7.213,LLG3028-NSASK12-RT01
10.236.7.216,LLG3197-NSASK12-RT01
10.236.7.217,LLG3745-NSASK12-RT01
10.236.7.219,LLG3067-NSASK12-RT01
10.236.7.22,LLG2000-NSASK12-RT01
10.236.7.221,LLG3813-NSASK12-RT01
10.236.7.247,LLG3687-NSASK12-RT01
10.236.7.248,LLG3663-NSASK12-RT01
10.236.7.25,LOG1040-NSASK12-RT01
10.236.7.251,LLG3829-NSASK12-RT01
10.236.7.36,LLG3903-NSASK12-RT01
10.236.7.37,LOG1570-NSASK12-RT01
10.236.7.41,LOG1410-NSASK12-RT01
10.236.7.42,LOG1413-NSASK12-RT01
10.236.7.46,LLG3884-NSASK12-RT01
10.236.7.51,LLG3161-NSASK12-RT01
10.236.7.56,LLG3810-NSASK12-RT01
10.236.7.9,LOG1512-NSASK12-RT01
10.236.7.91,LLG3659-NSASK12-RT01
10.236.7.93,LLG3885-NSASK12-RT01
10.236.7.94,LOG1571-NSASK12-RT01
10.236.79.159,LOG1604-NSASK12-RT01
10.236.79.218,LOG1742-NSASK12-RT01
